id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty
MLA1122778348,Amazon Fire Tv Stick 4k Hd Smart Tv Apps Netflix Disney  +,new,149999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1122778348-amazon-fire-tv-stick-4k-hd-smart-tv-apps-netflix-disney--_JM,http://http2.mlstatic.com/D_864838-MLA49062703106_022022-I.jpg,45059170,MLA352001,149999,Garantía de fábrica: 6 meses
MLA1109108466,Amazon Fire Tv Stick 3ra Generacion Hd Alexa  Remote,new,111718.48,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1109108466-amazon-fire-tv-stick-3ra-generacion-hd-alexa-remote-_JM,http://http2.mlstatic.com/D_697815-MLA47426372604_092021-I.jpg,153491318,MLA352001,111718.48,Garantía del vendedor: 6 meses
MLA1373149393,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,new,64999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1373149393-amazon-fire-tv-stick-lite-2022-full-hd-8gb-streaming-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,207527715,MLA352001,64999,Garantía del vendedor: 6 meses
MLA1422432335,Amazon Fire Tv Stick Lite- De Voz 2.ª Generación Full Hd ,new,65748,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1422432335-amazon-fire-tv-stick-lite-de-voz-2-generacion-full-hd-_JM,http://http2.mlstatic.com/D_972640-MLA44341353803_122020-I.jpg,512225720,MLA352001,65748,Garantía del vendedor: 12 meses
MLA1114672681, Amazon Fire Tv Stick 4k Ultra Hd Hdr Con Alexa En Control ,new,84790,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1114672681-amazon-fire-tv-stick-4k-ultra-hd-hdr-con-alexa-en-control-_JM,http://http2.mlstatic.com/D_985334-MLA48431489241_122021-I.jpg,69526727,MLA352001,84790,Garantía del vendedor: 6 meses
MLA1429657683,Amazon Fire Tv Stick 4k Ultra Hd Alexa Wifi6 2023 2º Gen 2gb,new,89999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1429657683-amazon-fire-tv-stick-4k-ultra-hd-alexa-wifi6-2023-2-gen-2gb-_JM,http://http2.mlstatic.com/D_733186-MLU75730689100_042024-I.jpg,701293922,MLA352001,89999,Garantía del vendedor: 3 meses
MLA1813200714,Amazon Fire Tv Stick 4k 3° Generación 4k 8gb N 1.5gb Ram,new,90000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1813200714-amazon-fire-tv-stick-4k-3-generacion-4k-8gb-n-15gb-ram-_JM,http://http2.mlstatic.com/D_784422-MLU73365004986_122023-I.jpg,1513101330,MLA352001,90000,Sin garantía
MLA1372865557,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,new,64999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1372865557-amazon-fire-tv-stick-lite-2022-full-hd-8gb-streaming-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,52270943,MLA352001,64999,Garantía del vendedor: 6 meses
MLA1275869904,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb + Fuente 220v!,new,78499,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1275869904-amazon-fire-tv-stick-lite-de-voz-full-hd-8gb-fuente-220v-_JM,http://http2.mlstatic.com/D_951781-MLA51505623321_092022-I.jpg,119671699,MLA352001,78499,Garantía de fábrica: 6 meses
MLA874505930,Amazon Fire Tv Stick 4k Hdr Control Por Voz Con Alexa ,new,87000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-874505930-amazon-fire-tv-stick-4k-hdr-control-por-voz-con-alexa-_JM,http://http2.mlstatic.com/D_653013-MLA48431072015_122021-I.jpg,82274172,MLA352001,87000,Garantía del vendedor: 6 meses
MLA1545001988,Amazon Fire Tv Stick 4k Control De Voz 3.ª Gen 8gb 1.5gb Ram,new,94010,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1545001988-amazon-fire-tv-stick-4k-control-de-voz-3-gen-8gb-15gb-ram-_JM,http://http2.mlstatic.com/D_605608-MLA72388262158_102023-I.jpg,1312428764,MLA352001,94010,Garantía del vendedor: 6 meses
MLA1369261961,Amazon Fire Tv Stick Lite Control De Voz Full Hd 8gb 1gb Ram,new,84999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1369261961-amazon-fire-tv-stick-lite-control-de-voz-full-hd-8gb-1gb-ram-_JM,http://http2.mlstatic.com/D_752249-MLA69339468528_052023-I.jpg,1002842391,MLA352001,84999,Sin garantía
MLA1811000372,Amazon Lite Fire Tv Stick B091g4yp57 De Voz 2.ª Full Hd 8gb,new,78399,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1811000372-amazon-lite-fire-tv-stick-b091g4yp57-de-voz-2-full-hd-8gb-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,209752538,MLA352001,78399,Garantía del vendedor: 3 meses
MLA1134829983,Reproductor Amazon Fire Tv Stick 4k Hdr Control Remoto Alexa,new,155285.1,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1134829983-reproductor-amazon-fire-tv-stick-4k-hdr-control-remoto-alexa-_JM,http://http2.mlstatic.com/D_827856-MLA50282419902_062022-I.jpg,33291180,MLA352001,155285.1,Garantía del vendedor: 90 días
MLA1412833394,Amazon Fire Tv Stick 4k Last Version Cargador Orig. + Cuot.s,new,169998,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1412833394-amazon-fire-tv-stick-4k-last-version-cargador-orig-cuots-_JM,http://http2.mlstatic.com/D_856996-MLU69145766705_042023-I.jpg,247639927,MLA352001,169998,Garantía del vendedor: 3 meses
MLA1407883790,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming Hbo,new,73999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1407883790-amazon-fire-tv-stick-lite-full-hd-8gb-1gb-ram-streaming-hbo-_JM,http://http2.mlstatic.com/D_868748-MLA54984164238_042023-I.jpg,701293922,MLA352001,73999,Garantía del vendedor: 6 meses
