id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty,color
MLA1369827257,Sony Playstation 4 Slim Cuh-20 1tb Standard  Color Negro Azabache,new,594288,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1369827257-sony-playstation-4-slim-cuh-20-1tb-standard-color-negro-azabache-_JM,http://http2.mlstatic.com/D_798586-MLA40076060236_122019-I.jpg,441790337,MLA438566,594288,Garantía del vendedor: 12 meses,Negro azabache
MLA1817682750,Microsoft Xbox Series S 1tb Carbon Black,new,1999999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1817682750-microsoft-xbox-series-s-1tb-carbon-black-_JM,http://http2.mlstatic.com/D_850369-MLA74805962673_022024-I.jpg,485322953,MLA438566,1999999,Garantía de fábrica: 12 meses,
MLA1454382226,Microsoft Xbox Series S 512gb Kit Extra Controller  Color Blanco 2020,new,949999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1454382226-microsoft-xbox-series-s-512gb-kit-extra-controller-color-blanco-2020-_JM,http://http2.mlstatic.com/D_715703-MLA53125497654_012023-I.jpg,758521932,MLA438566,949999,Garantía del vendedor: 6 meses,Blanco
MLA1604236316,Sony Playstation 4 Slim 500gb Uncharted 4: A Thief's End Bundle  Color Negro Azabache,new,650000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1604236316-sony-playstation-4-slim-500gb-uncharted-4-a-thiefs-end-bundle-color-negro-azabache-_JM,http://http2.mlstatic.com/D_768358-MLA40186103728_122019-I.jpg,267299678,MLA438566,650000,Garantía del vendedor: 6 meses,Negro azabache
MLA1141299483,Pc Armada Gamer Completa Amd Ryzen 7 5700g 16g Ssd480 Ver2.0,new,976499,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1141299483-pc-armada-gamer-completa-amd-ryzen-7-5700g-16g-ssd480-ver20-_JM,http://http2.mlstatic.com/D_627823-MLA76772269913_062024-I.jpg,91988078,MLA1649,976499,Garantía del vendedor: 1 años,
MLA1394846395,Consola Playstation 5 Ps5 Slim Marvels Spider-man 2 En Stock,new,1299999.99,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1394846395-consola-playstation-5-ps5-slim-marvels-spider-man-2-en-stock-_JM,http://http2.mlstatic.com/D_743681-MLA72877911202_112023-I.jpg,758521932,MLA438566,1299999.99,Garantía del vendedor: 6 meses,
MLA1420727301,Microsoft Xbox Series S S 512gb Standard  Color Blanco,new,978600,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1420727301-microsoft-xbox-series-s-s-512gb-standard-color-blanco-_JM,http://http2.mlstatic.com/D_946897-MLU69777374320_062023-I.jpg,237714148,MLA438566,978600,Garantía de fábrica: 6 meses,
MLA1422232707,Consola Xbox Series X 1tb Ssd 16gb Joystick Game Pass Pcreg,new,1167649,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1422232707-consola-xbox-series-x-1tb-ssd-16gb-joystick-game-pass-pcreg-_JM,http://http2.mlstatic.com/D_942133-MLA74651936102_022024-I.jpg,666749750,MLA438566,1167649,Garantía de fábrica: 12 meses,
MLA1785227734,Microsoft Xbox Series S 1tb Standard  Color Negro,new,999000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1785227734-microsoft-xbox-series-s-1tb-standard-color-negro-_JM,http://http2.mlstatic.com/D_850369-MLA74805962673_022024-I.jpg,1024986504,MLA438566,999000,Garantía del vendedor: 90 días,
MLA1433518321,Nintendo Switch Oled 64gb New Super Mario Bros. U Deluxe Bundle  Color Blanco 2023,new,899999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1433518321-nintendo-switch-oled-64gb-new-super-mario-bros-u-deluxe-bundle-color-blanco-2023-_JM,http://http2.mlstatic.com/D_737634-MLA71130200496_082023-I.jpg,758521932,MLA438566,899999,Garantía del vendedor: 6 meses,Blanco
MLA1766046402,Consola Xbox Series S 512gb Digital Blanco,new,999999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1766046402-consola-xbox-series-s-512gb-digital-blanco-_JM,http://http2.mlstatic.com/D_805929-MLU72675217442_112023-I.jpg,231153278,MLA438566,999999,Garantía de fábrica: 12 meses,
MLA1597677284,Parlante Google Home Mini Google Assistant Wifi Refabricado,new,69990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1597677284-parlante-google-home-mini-google-assistant-wifi-refabricado-_JM,http://http2.mlstatic.com/D_875624-MLA73322359484_122023-I.jpg,119914491,MLA409415,69990,Garantía del vendedor: 3 meses,
MLA1755830272,Consola Ps5 Slim Estándar + Juego Ratchet & Clank Y Returnal Color Blanco,new,1543999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1755830272-consola-ps5-slim-estandar-juego-ratchet-clank-y-returnal-color-blanco-_JM,http://http2.mlstatic.com/D_626239-MLU75342388763_032024-I.jpg,179274188,MLA438566,1543999,Garantía de fábrica: 12 meses,Blanco
MLA1430827233,Microsoft Xbox Series X 1tb - Soy Gamer -,new,1378000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1430827233-microsoft-xbox-series-x-1tb-soy-gamer--_JM,http://http2.mlstatic.com/D_942133-MLA74651936102_022024-I.jpg,191179311,MLA438566,1378000,Garantía del vendedor: 1 meses,
MLA1427814137,Pc Armada Cpu Intel Core I9 13900 32gb Ram 1tb Nvme Ver2.0,new,2539318,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1427814137-pc-armada-cpu-intel-core-i9-13900-32gb-ram-1tb-nvme-ver20-_JM,http://http2.mlstatic.com/D_713459-MLA76333994632_052024-I.jpg,91988078,MLA1649,2539318,Garantía del vendedor: 1 años,
MLA1134829983,Reproductor Amazon Fire Tv Stick 4k Hdr Control Remoto Alexa,new,155285.1,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1134829983-reproductor-amazon-fire-tv-stick-4k-hdr-control-remoto-alexa-_JM,http://http2.mlstatic.com/D_827856-MLA50282419902_062022-I.jpg,33291180,MLA352001,155285.1,Garantía del vendedor: 90 días,
MLA1143409979,Amazon Fire Tv Stick Lite Full Hd Control Voz Smart Tv Hdmi,new,76999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1143409979-amazon-fire-tv-stick-lite-full-hd-control-voz-smart-tv-hdmi-_JM,http://http2.mlstatic.com/D_894501-MLA50433789291_062022-I.jpg,45059170,MLA352001,76999,Garantía del vendedor: 6 meses,
MLA1373149393,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,new,64999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1373149393-amazon-fire-tv-stick-lite-2022-full-hd-8gb-streaming-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,207527715,MLA352001,64999,Garantía del vendedor: 6 meses,
